task_name,load_type,cpu_name,timestamp,cores_used,cpu_load,temperature,cpu_freq,rapl_power,rapl_energy,estimated_power,estimated_energy,tapo_power,tapo_energy,tapo_time_delta,duration
Load for 0 threads or % load on some_cores,some_cores,AMD EPYC 8024P 8-Core Processor,1736870885.4314823,0,0.0,0,1573.6895625,0.570341609175781,0.0001498387148708754,0.4006451612903227,3.3952651785241804e-06,0,0,0,30.509340853999902
Load for 1 threads or % load on some_cores,some_cores,AMD EPYC 8024P 8-Core Processor,1736870916.4484718,1,6.8,0,1674.0149375,18.32137992981586,0.0003186004209912441,6.143225806451613,5.213020505654175e-05,0,0,0,30.548963089000154
Load for 3 threads or % load on some_cores,some_cores,AMD EPYC 8024P 8-Core Processor,1736870947.5048661,3,18.6,0,1875.329125,37.67548313872943,0.00035289236703589175,16.79806451612903,0.00014253898582775382,0,0,0,30.54814376499985
Load for 4 threads or % load on some_cores,some_cores,AMD EPYC 8024P 8-Core Processor,1736870978.5606444,4,24.8,0,1917.428375,41.64788408234253,0.0003687826669703416,22.357741935483872,0.00018972382129295778,0,0,0,30.549244971999997
Load for 6 threads or % load on some_cores,some_cores,AMD EPYC 8024P 8-Core Processor,1736871009.6169264,6,37.3,0,2390.904875,43.577488003823284,0.00040014462511544363,33.12870967741936,0.0002811189356871732,0,0,0,30.54906796199998
Load for 8 threads or % load on some_cores,some_cores,AMD EPYC 8024P 8-Core Processor,1736871040.6735368,8,50.3,0,2577.975125,47.22484688134498,0.0004186007634914522,43.899677419354845,0.00037251962926638875,0,0,0,30.54776646800019
Load for 9 threads or % load on some_cores,some_cores,AMD EPYC 8024P 8-Core Processor,1736871071.7283158,9,56.2,0,2552.9630625,49.348595570337984,0.00042330994975879783,49.53193548387097,0.00042031326421113654,0,0,0,30.549575562999962
Load for 11 threads or % load on some_cores,some_cores,AMD EPYC 8024P 8-Core Processor,1736871102.7853847,11,71.6,0,2786.4235,49.929496571226025,0.0004353003696289052,60.29419354838709,0.0005116486368893932,0,0,0,30.549821148999854
Load for 12 threads or % load on some_cores,some_cores,AMD EPYC 8024P 8-Core Processor,1736871133.8423305,12,78.1,0,2864.8995625,51.11155331744621,0.0003866883171281862,65.8741935483871,0.0005590049861902901,0,0,0,30.550244901000042
Load for 14 threads or % load on some_cores,some_cores,AMD EPYC 8024P 8-Core Processor,1736871164.901577,14,87.5,0,2994.7883125,45.597339246911396,0.00039462264042008227,76.74677419354839,0.0006513229867146689,0,0,0,30.552348375000065
Load for 16 threads or % load on some_cores,some_cores,AMD EPYC 8024P 8-Core Processor,1736871195.9626908,16,100.0,0,2953.2051875,46.50666589353752,0.00039668247206794613,87.01548387096774,0.0007384650344527547,0,0,0,30.552532602999918
