"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:23:43:578","9863377260270","   0.100","  61.761"," 3772"," 3400"," 3800"," 3998","  21.170","   2.118","   0.588","  16.958","   1.697","   0.471"," 78","0"," 75"," 79","   1.093","   0.109","   0.030","  15.000","    0","    0"
"11:23:43:685","9863644023922","   0.207","  68.266"," 3758"," 3500"," 3800"," 4000","  22.490","   4.522","   1.256","  18.175","   3.640","   1.011"," 80","0"," 76"," 81","   1.227","   0.240","   0.067","  15.000","  500","  500"
"11:23:43:785","9863894254582","   0.307","  61.090"," 3756"," 3400"," 3800"," 3982","  22.169","   6.745","   1.874","  18.377","   5.482","   1.523"," 80","0"," 77"," 82","   0.967","   0.337","   0.094","  15.000","    0","    0"
"11:23:43:886","9864147281256","   0.409","  62.956"," 3786"," 3500"," 3800"," 4000","  22.712","   9.047","   2.513","  19.432","   7.452","   2.070"," 81","0"," 79"," 83","   0.721","   0.411","   0.114","  15.000","    0","    0"
"11:23:43:989","9864403941764","   0.511","  61.327"," 3791"," 3700"," 3800"," 4000","  22.865","  11.398","   3.166","  19.600","   9.467","   2.630"," 82","0"," 79"," 83","   0.660","   0.478","   0.133","  15.000","    0","    0"
"11:23:44:091","9864658782494","   0.614","  62.329"," 3768"," 3500"," 4000"," 3999","  22.637","  13.709","   3.808","  18.492","  11.355","   3.154"," 79","0"," 77"," 84","   1.156","   0.596","   0.166","  15.000","    0","    0"
"11:23:44:192","9864910896594","   0.715","  64.018"," 3768"," 3500"," 3800"," 3999","  22.247","  15.957","   4.432","  18.094","  13.183","   3.662"," 81","0"," 77"," 84","   1.238","   0.722","   0.200","  15.000","    0","    0"
"11:23:44:293","9865160941936","   0.815","  67.087"," 3784"," 3500"," 3800"," 4000","  22.774","  18.238","   5.066","  19.220","  15.108","   4.197"," 83","0"," 78"," 85","   0.870","   0.809","   0.225","  15.000","    0","    0"
"11:23:44:396","9865417971782","   0.918","  68.694"," 3791"," 3700"," 3800"," 4000","  23.235","  20.631","   5.731","  19.946","  17.162","   4.767"," 84","0"," 80"," 85","   0.756","   0.887","   0.246","  15.000","    0","    0"
"11:23:44:500","9865679412930","   1.022","  70.386"," 3785"," 3500"," 3800"," 4000","  22.985","  23.038","   6.400","  19.279","  19.182","   5.328"," 82","0"," 78"," 85","   0.939","   0.985","   0.274","  15.000","    0","    0"
"11:23:44:605","9865939773444","   1.127","  66.733"," 3790"," 3600"," 3800"," 3998","  23.156","  25.454","   7.070","  19.540","  21.220","   5.894"," 82","0"," 79"," 86","   0.943","   1.083","   0.301","  15.000","    0","    0"
"11:23:44:709","9866200303882","   1.231","  44.025"," 3793"," 3300"," 4000"," 3960","  18.725","  27.408","   7.613","  15.281","  22.815","   6.337"," 79","0"," 73"," 83","   0.839","   1.171","   0.325","  15.000","    0","    0"

"Total Elapsed Time (sec) = 1.231120"
"Measured RDTSC Frequency (GHz) = 2.496"

"Cumulative Package Energy_0 (Joules) = 27.408203"
"Cumulative Package Energy_0 (mWh) = 7.613390"
"Average Package Power_0 (Watt) = 22.262827"

"Cumulative IA Energy_0 (Joules) = 22.814819"
"Cumulative IA Energy_0 (mWh) = 6.337450"
"Average Package IA_0 (Watt) = 18.531765"

"Cumulative DRAM Energy_0 (Joules) = 1.170898"
"Cumulative DRAM Energy_0 (mWh) = 0.325250"
"Average Package DRAM_0 (Watt) = 0.951084"
